DOLocationID,month,time,day_of_the_week,num_pickups
162,1,21,6,972
230,1,17,3,2000
239,1,21,3,1914
68,1,15,4,1263
236,1,15,2,5108
143,1,13,5,914
186,1,16,3,1633
166,1,1,3,91
186,1,16,0,2093
230,1,19,3,1626
141,1,14,1,1811
114,1,12,2,598
263,1,22,6,743
143,1,19,2,1758
141,1,5,1,311
140,1,10,0,1322
48,1,8,0,974
161,1,13,5,2299
170,1,8,2,3561
142,1,17,2,3169
170,1,13,1,2375
237,1,15,6,2459
141,1,15,6,1797
249,1,11,2,764
249,1,16,0,940
229,1,1,0,576
48,1,20,0,2045
234,1,17,5,2096
230,1,19,3,1626
162,1,12,4,2091
229,1,1,6,904
75,1,0,6,613
166,1,12,0,513
164,1,21,6,968
137,1,16,4,685
232,1,19,2,627
141,1,16,6,1820
233,1,18,1,1273
229,1,21,0,1464
238,1,19,5,1515
234,1,7,3,1657
143,1,22,5,903
236,1,11,3,2691
140,1,13,4,1211
164,1,18,3,1274
170,1,15,0,2224
141,1,19,1,2799
141,1,21,6,1077
50,1,23,6,336
141,1,19,6,1378
234,1,8,1,3292
170,1,19,6,1484
229,1,0,6,1045
236,1,20,2,3388
239,1,19,2,3004
261,1,22,3,322
170,1,15,5,1890
164,1,15,1,1808
161,1,7,1,6945
79,1,21,4,2757
137,1,11,0,757
186,1,6,5,646
151,1,17,2,1013
164,1,20,2,1679
87,1,20,1,743
141,1,0,6,1398
114,1,2,6,671
249,1,20,0,1377
236,1,15,5,3448
234,1,16,1,2191
137,1,14,4,757
90,1,18,2,1496
75,1,7,1,1413
232,1,22,1,467
170,1,10,2,2882
246,1,15,1,1267
246,1,14,3,882
107,1,9,0,1058
107,1,16,6,1258
142,1,23,6,498
143,1,18,0,1458
236,1,13,0,3475
68,1,17,5,1797
148,1,17,4,652
162,1,19,4,1577
142,1,0,5,728
79,1,22,4,2689
164,1,12,6,1171
48,1,23,0,1374
141,1,15,5,2072
262,1,13,1,781
239,1,21,6,1092
79,1,13,0,1013
246,1,8,3,1281
229,1,0,6,1045
113,1,22,4,1057
229,1,14,6,1171
237,1,15,5,2915
158,1,15,0,697
144,1,0,6,828
249,1,7,4,321
162,1,11,3,2135
231,1,9,3,1241
137,1,13,0,845
161,1,14,5,2125
87,1,3,6,600
50,1,8,1,1036
161,1,12,3,2872
75,1,9,2,1111
249,1,21,6,853
238,1,13,0,1463
234,1,15,2,2535
170,1,19,1,2758
262,1,16,4,1084
163,1,17,2,2113
163,1,8,1,3269
246,1,9,5,1419
4,1,20,5,487
151,1,21,2,1004
236,1,23,3,1070
48,1,8,4,1015
163,1,15,2,2168
163,1,15,0,1975
144,1,20,2,714
161,1,8,2,6979
234,1,9,2,3891
79,1,5,6,166
263,1,22,0,1154
137,1,0,0,603
229,1,18,0,2009
68,1,8,1,1655
186,1,13,3,1491
163,1,14,5,1461
239,1,2,6,447
162,1,6,2,2475
144,1,19,3,605
161,1,14,6,1897
140,1,7,5,565
125,1,15,2,460
79,1,11,2,765
90,1,4,0,287
238,1,12,1,1492
41,1,14,2,342
163,1,12,5,1482
239,1,21,4,1796
231,1,13,3,842
148,1,23,2,749
161,1,8,3,5321
166,1,6,4,218
229,1,11,4,955
161,1,19,0,1709
237,1,11,3,2880
163,1,6,4,1031
163,1,15,4,1688
263,1,13,1,1062
48,1,16,3,1400
42,1,15,0,273
170,1,16,3,1619
90,1,19,2,1524
230,1,17,3,2000
234,1,19,3,1867
236,1,20,2,3388
140,1,22,5,987
161,1,18,3,2064
113,1,15,6,947
236,1,18,0,4059
88,1,10,0,411
100,1,8,1,1800
234,1,17,6,1590
162,1,11,4,2124
211,1,7,4,169
90,1,16,2,1083
100,1,11,1,1374
234,1,10,4,2140
224,1,14,0,251
239,1,17,5,2122
234,1,2,0,353
262,1,20,4,1151
237,1,9,5,1920
233,1,13,4,694
148,1,15,5,797
236,1,9,6,1919
107,1,5,1,204
140,1,17,4,1170
140,1,16,3,913
68,1,8,4,1331
236,1,18,5,2652
234,1,18,1,2686
236,1,16,2,4159
262,1,15,5,1035
229,1,15,4,1129
230,1,12,5,2154
170,1,20,6,1424
236,1,14,5,2951
161,1,10,3,3226
234,1,22,0,975
263,1,11,0,1022
43,1,10,3,947
143,1,20,0,1120
186,1,11,6,1932
237,1,18,2,4688
164,1,7,4,1030
143,1,19,0,1275
75,1,15,3,667
143,1,16,0,1181
236,1,18,2,5013
234,1,13,0,2062
230,1,6,2,2942
238,1,23,6,553
237,1,9,5,1920
239,1,14,3,1544
234,1,10,0,1980
239,1,11,1,1677
170,1,19,4,2455
186,1,15,2,2541
170,1,9,0,2360
186,1,11,3,1269
142,1,15,6,2321
236,1,12,6,3035
142,1,20,1,2203
230,1,1,5,740
50,1,11,0,632
158,1,21,2,910
50,1,18,5,812
234,1,8,2,3485
140,1,10,1,1779
43,1,18,5,837
230,1,11,0,1800
79,1,20,6,1624
158,1,14,2,706
50,1,14,1,773
68,1,10,0,1166
161,1,11,5,2147
236,1,11,3,2691
161,1,8,3,5321
68,1,22,4,1719
246,1,9,1,2843
237,1,11,5,2763
249,1,16,6,1108
43,1,15,6,807
141,1,12,2,1785
48,1,17,5,2519
170,1,8,4,2520
263,1,22,3,1496
237,1,20,3,1742
68,1,8,4,1331
239,1,22,1,1694
229,1,11,1,1189
100,1,11,4,1067
236,1,15,5,3448
107,1,20,4,1781
161,1,9,2,5570
68,1,23,4,1693
158,1,17,4,742
230,1,7,0,2203
43,1,19,4,757
163,1,8,0,2207
142,1,0,6,916
164,1,23,6,579
114,1,12,3,417
238,1,11,5,1245
163,1,7,2,2642
113,1,19,3,1201
263,1,18,2,2443
229,1,8,1,1236
262,1,14,5,869
114,1,20,4,1095
236,1,17,1,4588
140,1,14,1,1802
50,1,17,6,630
239,1,19,1,2803
170,1,19,2,3168
100,1,9,5,663
229,1,23,2,1027
231,1,19,0,1132
239,1,10,3,1114
107,1,19,0,1951
148,1,15,6,652
163,1,2,1,96
170,1,18,5,2028
158,1,8,3,484
262,1,11,5,833
186,1,18,4,1748
107,1,1,5,1223
233,1,1,5,709
238,1,9,2,1107
142,1,20,0,1705
249,1,13,5,1230
246,1,17,4,1102
113,1,22,1,973
229,1,15,1,1394
232,1,23,2,403
113,1,13,2,1040
186,1,18,4,1748
236,1,12,2,3952
170,1,10,1,2695
238,1,6,2,381
161,1,8,2,6979
237,1,15,1,4247
186,1,9,2,1682
141,1,9,2,1435
170,1,1,5,1488
163,1,23,0,611
234,1,19,4,2198
230,1,21,0,1769
170,1,23,2,1620
236,1,8,4,2841
244,1,21,4,242
232,1,23,4,503
234,1,9,2,3891
74,1,9,3,308
161,1,13,2,4065
164,1,20,6,916
143,1,13,3,684
68,1,17,5,1797
79,1,19,0,2168
161,1,17,5,2092
142,1,21,4,1689
244,1,13,0,162
100,1,12,4,1028
239,1,0,6,1056
239,1,15,3,1722
238,1,12,4,1309
239,1,22,2,2016
140,1,6,4,1240
50,1,11,5,679
140,1,18,4,1308
137,1,23,3,857
100,1,11,2,1499
161,1,15,1,3248
142,1,23,0,660
170,1,9,2,3324
236,1,14,4,3820
186,1,8,1,1435
107,1,19,1,2335
261,1,17,4,208
239,1,16,2,2456
113,1,12,4,867
152,1,4,0,91
50,1,3,5,334
141,1,21,2,2605
236,1,13,1,3701
170,1,9,1,3178
237,1,11,5,2763
162,1,19,5,1377
143,1,10,1,696
166,1,21,1,495
231,1,14,1,1215
48,1,19,0,2220
239,1,21,5,1605
162,1,19,1,2100
232,1,15,1,291
113,1,19,2,1646
263,1,9,0,812
229,1,12,6,1169
161,1,1,0,426
161,1,12,1,3825
48,1,19,6,1585
143,1,20,4,987
236,1,15,3,3358
161,1,19,5,2307
236,1,12,2,3952
170,1,1,5,1488
233,1,11,0,844
229,1,21,4,1566
43,1,11,0,1073
137,1,11,3,610
230,1,6,0,1881
161,1,14,3,2772
238,1,21,1,2142
230,1,13,3,1844
148,1,2,6,1164
236,1,13,1,3701
