[INFO] 2023-07-17 23:26:11,547  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/2' | 200
[INFO] 2023-07-17 23:27:06,570  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/4' | 200
[INFO] 2023-07-17 23:27:06,703  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/4' | 200
[INFO] 2023-07-17 23:29:18,654  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/2' | 200
[INFO] 2023-07-17 23:29:18,658  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/2' | 200
[INFO] 2023-07-17 23:31:49,790  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/5' | 200
[INFO] 2023-07-17 23:31:49,791  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/5' | 200
[INFO] 2023-07-17 23:34:57,359  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/4' | 200
[INFO] 2023-07-17 23:34:57,360  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/4' | 200
[INFO] 2023-07-17 23:37:30,502  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/3' | 200
[INFO] 2023-07-17 23:37:30,528  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/3' | 200
[INFO] 2023-07-17 23:38:05,393  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/4' | 200
[INFO] 2023-07-17 23:38:05,394  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/4' | 200
[INFO] 2023-07-17 23:46:49,613  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/2' | 200
[INFO] 2023-07-17 23:46:49,617  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/2' | 200
[INFO] 2023-07-17 23:58:02,726  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z' | 200
[INFO] 2023-07-17 23:58:02,753  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z' | 200
[INFO] 2023-07-18 00:01:01,385  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/4' | 200
[INFO] 2023-07-18 00:01:01,386  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/4' | 200
[INFO] 2023-07-18 00:01:33,517  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/3' | 200
[INFO] 2023-07-18 00:01:33,521  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/3' | 200
[INFO] 2023-07-18 00:02:11,963  | 127.0.0.1 | GET '/baseline/2023-07-17T00:00:00.000Z/1' | 200
[INFO] 2023-07-18 00:02:11,989  | 127.0.0.1 | GET '/predict/2023-07-17T00:00:00.000Z/1' | 200
[INFO] 2023-07-18 10:59:21,491  | 127.0.0.1 | GET '/baseline/2023-07-18T00:00:00.000Z' | 200
[INFO] 2023-07-18 10:59:21,530  | 127.0.0.1 | GET '/baseline/2023-07-18T00:00:00.000Z' | 200
[INFO] 2023-07-18 11:05:29,051  | 127.0.0.1 | GET '/predict/2023-07-18T00:00:00.000Z/6' | 200
[INFO] 2023-07-18 11:05:29,052  | 127.0.0.1 | GET '/baseline/2023-07-18T00:00:00.000Z/6' | 200
[INFO] 2023-07-19 14:00:09,336  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 14:00:09,381  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 14:01:31,782  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 14:01:31,785  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 14:03:46,608  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 14:03:46,611  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 14:06:28,908  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 14:08:03,633  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 14:08:03,658  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 14:08:15,142  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/3' | 200
[INFO] 2023-07-19 14:08:15,147  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/3' | 200
[INFO] 2023-07-19 14:16:18,749  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 14:16:18,776  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 14:16:19,539  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 14:16:19,557  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
